"CPI Level 2 Subgroups for New Zealand, Seasonally adjusted (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Seasonally adjusted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Fruit and vegetables","Meat, poultry and fish","Grocery food","Non-alcoholic beverages","Restaurant meals and ready-to-eat food","Alcoholic beverages","Cigarettes and tobacco","Clothing","Footwear","Actual rentals for housing","Home ownership","Property maintenance","Property rates and related services","Household energy","Furniture, furnishings and floor coverings","Household textiles","Household appliances","Glassware, tableware and household utensils","Tools and equipment for house and garden","Other household supplies and services","Medical products, appliances and equipment","Out-patient services","Hospital services","Purchase of vehicles","Private transport supplies and services","Passenger transport services","Postal services","Telecommunication equipment","Telecommunication services","Audio-visual and computing equipment","Major recreational and cultural equipment","Other recreational equipment and supplies","Recreational and cultural services","Newspapers, books and stationery","Accommodation services","Early childhood education","Primary and secondary education","Tertiary and other post school education","Other educational fees","Personal care","Personal effects","Insurance","Credit services","Other miscellaneous services"
"2006Q2",668,776,804,779,743,846,365,990,1037,790,639,706,582,659,1016,973,1053,999,891,966,982,731,661,965,891,1025,664,11898,1323,4098,826,932,790,724,811,1127,610,662,"..",923,733,687,1075,681
"2006Q3",699,783,803,781,751,853,369,990,1026,792,652,718,597,673,1042,960,1047,1008,895,974,982,718,666,953,886,1019,664,11382,1323,3971,831,928,787,735,828,1139,619,667,"..",926,751,691,1075,690
"2006Q4",735,813,801,776,756,859,376,989,1023,799,659,723,608,683,1033,953,1056,1004,895,987,957,723,683,951,802,1020,673,10934,1323,3869,835,943,792,744,826,1130,627,672,"..",930,761,692,1069,699
"2007Q1",740,831,805,799,764,863,377,994,1021,805,667,733,617,696,1020,958,1053,966,898,971,965,732,694,949,808,1043,675,10317,1328,3709,841,937,801,753,827,1140,647,668,"..",934,782,694,1062,716
"2007Q2",731,846,809,805,771,871,379,994,1019,810,678,742,627,705,1039,951,1056,990,907,986,971,751,705,949,847,1040,683,9553,1337,3586,846,940,805,765,843,1122,654,673,"..",936,785,695,1056,737
"2007Q3",704,844,823,799,779,881,384,995,1015,816,690,754,641,714,1036,957,1057,988,908,973,867,735,714,950,859,1034,697,8834,1335,3447,854,933,813,775,851,759,663,679,"..",937,795,696,1061,749
"2007Q4",725,862,849,812,786,890,388,995,1014,822,699,762,650,726,1022,960,1060,1002,908,995,865,740,721,952,891,1033,697,8378,1331,3270,867,936,812,782,854,736,671,685,"..",943,801,694,1060,754
"2008Q1",731,860,876,838,796,894,390,996,1008,830,705,771,660,739,1013,964,1046,965,907,993,866,743,733,949,918,1043,697,7910,1331,3152,869,934,817,786,862,744,684,688,"..",947,810,714,1067,755
"2008Q2",761,871,901,843,812,895,392,993,1002,835,713,780,671,755,1013,968,1057,977,909,994,872,751,743,939,1000,1068,738,7538,1336,3012,865,939,822,793,879,745,692,694,595,954,815,716,1065,756
"2008Q3",800,894,922,853,826,901,397,994,1002,842,722,787,677,767,1009,957,1074,995,920,1017,874,757,765,909,1044,1084,738,7283,1321,2852,851,952,828,800,879,747,701,701,610,966,834,725,1065,746
"2008Q4",811,950,944,858,836,911,403,999,1003,846,721,794,689,783,1017,984,1071,1002,945,1001,877,763,770,911,890,1076,738,6832,1321,2738,876,960,836,818,889,758,709,709,618,968,842,745,1068,739
"2009Q1",820,959,954,889,844,919,406,1002,1013,847,721,795,699,791,1018,976,1066,964,977,1014,887,770,779,938,885,1033,738,6814,1321,2701,903,973,841,836,888,769,717,717,619,976,864,758,1074,739
"2009Q2",824,970,964,902,851,929,408,1013,1020,850,722,800,707,793,1028,990,1093,974,1011,1014,899,777,786,975,905,948,738,6710,1332,2689,917,992,846,853,878,768,726,724,627,990,875,769,1074,742
"2009Q3",805,979,970,922,857,943,410,1014,1032,851,723,799,720,798,1009,981,1091,1012,1015,1033,902,785,800,1012,929,984,738,6615,1331,2623,920,1000,852,865,878,771,735,732,642,992,903,773,1074,751
"2009Q4",772,954,960,924,860,936,419,1031,1028,855,726,795,727,799,1019,989,1097,969,1003,1012,907,789,810,1014,926,1006,766,6364,1323,2463,919,1008,855,855,883,769,742,741,650,994,903,782,1000,758
"2010Q1",799,967,966,921,864,946,406,1028,1024,857,727,796,736,808,998,975,1079,951,1001,1017,921,797,819,1008,963,1012,766,6028,1315,2324,914,1005,861,866,884,778,741,761,764,986,904,780,962,764
"2010Q2",771,935,967,920,868,960,445,1027,1026,861,730,802,746,803,995,979,1080,979,1004,988,915,806,828,994,972,1010,766,5702,1312,2217,917,1008,865,860,881,782,750,770,774,983,903,788,956,769
"2010Q3",792,951,980,917,873,967,470,1022,1022,865,734,815,753,827,995,945,1064,976,996,995,917,813,832,1015,978,1022,766,5409,1315,2189,917,1007,873,872,870,796,758,779,791,993,906,792,956,770
"2010Q4",864,974,1008,942,893,986,494,1016,1028,868,749,841,776,844,1018,987,1081,972,1011,1005,930,862,848,1035,1026,1021,824,5140,1324,2152,932,1015,887,879,899,825,766,789,800,1010,923,804,971,784
"2011Q1",875,995,1013,955,900,991,509,1012,1024,872,748,850,785,856,987,977,1062,908,1010,1013,936,870,856,1022,1090,1038,829,4891,1313,2078,927,1011,893,892,909,869,779,810,807,1015,930,813,972,784
"2011Q2",865,995,1031,990,906,985,516,1012,1043,877,755,856,795,862,1006,1021,1056,959,1006,1023,932,875,864,1039,1119,1091,829,4510,1300,2033,945,1015,906,897,903,874,788,820,818,1019,944,816,973,789
"2011Q3",859,1005,1040,989,910,991,526,1014,1044,881,761,860,803,863,1011,1040,1075,978,1004,1014,935,879,874,1056,1097,1078,833,4082,1255,1934,941,1015,910,890,921,886,797,829,832,1020,957,835,996,796
"2011Q4",808,998,1040,984,915,994,543,1011,1037,886,764,860,811,865,990,1034,1064,911,1001,1012,936,886,878,1061,1106,1058,835,3799,1210,1869,929,1001,921,882,918,892,805,838,840,1017,955,841,999,805
"2012Q1",818,997,1035,982,917,1001,574,1012,1028,892,769,869,820,872,981,1056,1059,973,1004,1013,934,890,885,1073,1122,1072,839,3436,1213,1795,927,1007,924,861,921,906,806,841,843,1020,974,866,1000,810
"2012Q2",839,992,1028,975,919,1014,585,1010,1023,897,776,869,829,889,992,1064,1052,951,989,1015,942,894,889,1070,1126,1081,843,3250,1183,1738,924,1006,923,864,938,909,815,850,853,1022,985,871,1031,816
"2012Q3",860,993,1016,979,923,1011,599,1006,1025,903,784,867,835,897,1020,1019,1035,955,996,1020,943,903,890,1053,1120,1059,875,3090,1161,1680,931,1006,928,858,943,913,824,859,864,1025,990,894,1037,819
"2012Q4",874,988,1007,978,921,1012,617,1004,1021,907,788,878,845,906,976,1037,1019,948,1000,1009,945,917,895,1045,1113,1057,877,2858,1142,1631,925,987,930,873,941,923,832,867,872,1025,966,900,1038,823
"2013Q1",861,998,1013,988,924,1019,638,1000,1018,912,795,884,854,912,954,984,1013,935,1008,1013,1001,919,902,1051,1122,1050,879,2665,1126,1582,930,997,935,871,942,929,844,874,887,1027,986,902,1043,828
"2013Q2",856,995,1011,988,927,1012,654,993,1001,916,808,897,864,916,970,998,1007,952,999,1014,1006,925,909,1043,1103,1056,882,2506,1124,1541,922,993,939,884,950,931,854,883,896,1025,983,924,1057,838
"2013Q3",877,997,1020,994,929,1011,669,985,997,921,816,906,872,925,958,948,992,980,1002,1032,999,932,917,1035,1144,1060,888,2319,1116,1500,932,999,943,891,958,935,863,891,905,1025,969,934,1057,847
"2013Q4",859,1006,1024,999,937,1013,689,991,1002,926,825,915,881,928,978,958,1003,964,998,1019,1001,936,921,1029,1121,1079,890,2241,1116,1467,934,996,946,900,960,926,872,899,912,1022,973,940,1057,856
