"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years and over","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years and over"
"1991Q1",30940,29990,29210,28830,27170,27030,26780,26450,26370,26440,27180,26610,25750,25880,27040,27010,28180,29240,29770,30730,30330,29770,28990,27160,26650,26700,26950,28360,28950,29380,28740,28500,27760,27130,26760,26080,25430,24980,24590,24350,24290,24340,24510,24250,24000,20940,19540,18770,17950,19280,19130,17100,16190,15620,15020,14530,14510,14150,14460,14730,15170,14890,14580,14440,14310,13720,13040,12350,11640,11400,10940,9370,8370,7930,8020,7250,6980,6440,5820,5190,4520,3830,3420,2920,2430,2020,1620,1310,1070,830,2100,29630,28740,27910,27200,25930,25990,25440,25100,24780,24950,25470,25570,25190,25070,26560,26560,28160,29170,30180,31100,30730,29810,28800,27970,27510,27140,27800,29360,30610,30520,30220,29160,28770,27820,27350,26940,26230,25560,25140,24550,24580,24330,24550,24690,24150,21060,19560,18610,18050,19310,18930,17200,16460,15590,15300,14510,14180,14180,14440,14330,15090,14800,14600,14280,14390,14220,14190,13560,13580,13520,13290,11920,10880,10620,10890,9940,10150,9180,8870,7820,7210,6700,6200,5200,4700,4200,3480,3020,2440,2050,6870
"1991Q2",31230,30150,29340,28940,27440,27090,26820,26700,26270,26400,27050,26650,26140,25750,26880,27090,27730,29090,29690,30450,30600,29530,29040,27460,26540,26330,26810,28170,28660,29320,28960,28620,28330,26970,26860,26310,25500,25330,24490,24460,24310,24350,24420,24300,24620,20880,20010,19350,17500,19300,19120,17820,16190,15710,15150,14620,14450,14160,14330,14550,15140,14810,14560,14650,14220,13680,13300,12260,11740,11470,10690,10040,8340,7850,7890,7390,6880,6610,5850,5170,4560,3910,3420,2960,2430,2050,1640,1330,1090,850,2150,29630,29130,28030,27460,25860,26160,25660,25220,24720,24830,25630,25360,25520,24900,26250,26460,27800,29080,29650,30980,31000,29600,28610,28120,27620,26920,27490,29160,30130,30780,30400,29300,29220,27810,27510,27040,26300,25950,25020,24800,24370,24690,24270,24710,24790,20970,20190,19100,17520,19350,19130,17730,16450,15650,15380,14720,14050,14260,14350,14300,14930,14830,14540,14540,14140,14170,14250,13600,13490,13580,13000,12770,10670,10610,10820,10080,10020,9390,8760,8120,7120,6730,6260,5310,4670,4170,3550,3080,2480,2070,6960
"1991Q3",31120,30420,29590,29180,27890,27180,26990,26630,26380,26330,26960,26710,26550,25720,26640,26970,27610,28760,29350,30370,30890,29400,29130,27740,26640,26320,26730,27680,28660,29200,29080,28740,28360,27320,26820,26630,25650,25510,24470,24690,24340,24250,24450,24480,24690,21600,20380,19310,17770,19070,19090,18260,16520,15920,15200,14770,14390,14330,14140,14440,15020,14810,14620,14610,14230,13800,13250,12390,11880,11420,10720,10670,8030,7930,7740,7530,6750,6630,5870,5240,4510,4030,3440,2950,2480,2090,1640,1360,1040,880,2180,29500,29330,28230,27790,26230,26260,25670,25290,24910,24680,25730,25210,25560,24870,25970,26410,27680,28580,29500,30740,31080,29690,28980,28040,27750,26930,27370,28660,30170,30570,30740,29520,29300,28140,27630,27150,26630,26100,25180,24920,24520,24690,24150,24700,25050,21690,20710,19080,17720,19000,19170,18160,16760,15920,15420,15020,13880,14270,14280,14250,14930,14860,14560,14410,14270,14170,14090,13770,13300,13670,12980,13440,10340,10670,10590,10310,9750,9530,8830,8320,7110,6660,6300,5510,4640,4190,3610,3010,2550,2060,7000
"1991Q4",31170,30640,29830,29130,28480,27170,27030,26760,26430,26430,26680,26980,26570,25760,26120,27230,27300,28460,29230,30120,30630,29690,29310,28150,26720,26600,26600,27370,28900,29140,29250,28930,28240,27770,26800,27020,25720,25600,24560,24780,24270,24310,24370,24660,24440,22990,20640,19400,18120,18550,19070,18610,16920,16040,15380,14990,14180,14480,14030,14440,14740,14940,14640,14570,14130,13920,13280,12560,11980,11400,10770,10680,8390,8060,7580,7630,6770,6560,5950,5320,4590,4080,3420,3010,2490,2130,1660,1370,1050,910,2240,29280,29350,28610,27940,26630,26130,25860,25390,25030,24910,25260,25350,25540,25030,25490,26590,27010,28440,29270,30310,30950,29970,29320,28380,27890,27140,27250,28660,29980,30640,30720,30110,29190,28560,27680,27350,26650,26250,25340,25140,24320,24860,24160,24770,24780,22980,21040,19280,17960,18710,19010,18530,17140,16020,15530,15200,14110,14290,14100,14280,14590,14930,14500,14610,14070,14300,13980,13900,13350,13460,13060,13340,10850,10720,10500,10440,9550,9700,8810,8450,7140,6830,6200,5720,4590,4260,3660,3040,2580,2100,7080
"1992Q1",31260,30920,30000,29240,28880,27190,27100,26840,26490,26430,26480,27260,26670,25850,25980,27210,27160,28260,29220,29810,30600,29960,29240,28530,26890,26480,26650,27070,28560,29120,29560,28880,28590,27860,27190,26860,26140,25500,25030,24670,24390,24380,24400,24570,24320,24030,20940,19550,18760,17910,19250,19070,17040,16120,15550,14960,14400,14390,14040,14330,14550,15030,14680,14370,14170,13980,13390,12700,11980,11330,11040,10520,8990,8010,7520,7640,6840,6550,6000,5370,4720,4100,3430,3020,2550,2130,1740,1360,1100,900,2320,29150,29600,28760,27950,27250,25970,26030,25480,25130,24800,25010,25520,25640,25270,25140,26660,26710,28250,29140,30060,30810,30290,29280,28440,27780,27500,27210,27980,29560,30850,30680,30370,29210,28870,27900,27380,26960,26260,25600,25160,24590,24600,24380,24570,24690,24150,21030,19520,18570,18000,19260,18870,17160,16410,15540,15240,14430,14110,14080,14340,14230,14970,14670,14460,14130,14210,14020,13990,13370,13320,13250,13000,11650,10600,10330,10570,9580,9790,8790,8460,7430,6760,6260,5750,4770,4250,3750,3080,2630,2100,7230
"1992Q2",30740,31180,30120,29320,28970,27470,27100,26860,26720,26300,26440,27110,26720,26230,25830,27000,27230,27830,29100,29710,30330,30220,29000,28620,27210,26440,26280,26920,28330,28890,29500,29110,28710,28440,27040,26930,26360,25570,25410,24570,24510,24370,24430,24470,24370,24650,20890,20020,19340,17460,19260,19060,17770,16130,15640,15070,14500,14300,14050,14210,14380,14990,14590,14330,14370,13930,13340,12970,11880,11400,11130,10250,9620,7980,7440,7520,6950,6470,6140,5390,4720,4150,3510,3020,2570,2130,1780,1360,1100,910,2340,28660,29590,29140,28060,27520,25880,26190,25670,25220,24750,24870,25680,25410,25580,24970,26340,26580,27900,29060,29530,30710,30530,29050,28240,27940,27610,27030,27610,29360,30310,30940,30550,29340,29270,27870,27530,27050,26320,26000,25060,24840,24400,24710,24280,24710,24780,20940,20120,19040,17470,19290,19070,17680,16390,15610,15300,14660,13960,14180,14240,14210,14820,14690,14390,14390,13940,13980,14070,13380,13250,13290,12710,12480,10390,10300,10480,9750,9630,9000,8380,7700,6660,6300,5790,4870,4230,3750,3120,2700,2130,7320
"1992Q3",30600,31030,30390,29530,29200,27930,27170,27010,26640,26400,26360,27000,26770,26620,25820,26750,27140,27660,28780,29330,30260,30490,28880,28670,27460,26470,26250,26820,27860,28890,29370,29290,28850,28430,27380,26920,26690,25710,25590,24550,24730,24380,24360,24480,24530,24720,21600,20370,19300,17730,19030,19020,18210,16460,15860,15120,14660,14250,14210,14010,14270,14840,14620,14370,14310,13910,13470,12910,12020,11520,11050,10290,10260,7670,7510,7350,7070,6320,6180,5410,4760,4090,3590,3040,2550,2160,1800,1350,1120,840,2360,28250,29460,29340,28220,27820,26250,26270,25670,25310,24940,24700,25790,25240,25620,24950,26080,26520,27710,28620,29420,30490,30580,29160,28610,27770,27660,27080,27490,28830,30310,30740,30840,29590,29310,28160,27650,27210,26660,26110,25200,24980,24530,24680,24160,24690,25050,21660,20640,19040,17670,18940,19110,18080,16710,15870,15370,14950,13800,14160,14170,14150,14800,14720,14410,14250,14060,13960,13920,13560,13050,13380,12690,13120,10070,10390,10260,9970,9400,9140,8450,7900,6670,6210,5820,5030,4220,3750,3190,2650,2190,7300
