"Income - Seasonally Adjusted (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","",""
"","Sales and Other Income","All rates","Regulatory income (includes petrol tax)","Government Grants and Subsidies","Interest Revenue","Dividends","Investment Income","Total Operating Income"
"1992Q3",150296,391719,31912,68161,20471,15872,26152,677306
"1992Q4",148103,395790,32857,74627,30590,19761,51131,699442
"1993Q1",149665,399809,33641,72417,25064,21553,44688,709321
"1993Q2",149324,412401,34238,76395,34721,16060,65723,723336
"1993Q3",148101,414015,35718,79443,35169,16659,39254,724614
"1993Q4",151241,419966,36727,77010,33041,13263,46205,727079
"1994Q1",148519,412639,37576,67760,30791,13173,41573,717674
"1994Q2",146596,416911,38223,76793,36752,18151,70632,734344
"1994Q3",147340,431484,41563,83427,38262,12528,39930,751486
"1994Q4",144120,432035,42625,73636,32448,15800,48601,736541
"1995Q1",149017,424421,43452,86361,40295,20049,57711,772265
"1995Q2",156389,432473,43894,83569,39849,21767,78490,780729
"1995Q3",158295,436295,44903,78398,37139,28803,47903,775016
"1995Q4",162412,438472,45687,83567,43851,27553,72615,797712
"1996Q1",166999,435926,46383,84396,42075,16675,56481,802663
"1996Q2",166660,459975,46786,84595,38867,17660,65268,807879
"1996Q3",167482,449920,44124,82847,41161,27591,64394,818590
"1996Q4",173739,470980,44769,87303,44972,22972,65356,835116
"1997Q1",173213,472556,45383,88239,43417,16720,57932,851612
"1997Q2",168480,488903,45741,83185,43808,16384,68984,837532
"1997Q3",172897,473563,45540,89480,45590,24844,66244,859170
"1997Q4",166195,473621,46026,91679,44820,23037,65409,833374
"1998Q1",159470,478750,46606,92688,50719,21823,70187,860034
"1998Q2",163234,495868,47069,94629,46776,61168,116452,901317
"1998Q3",168111,488526,45112,101575,45679,73142,115218,933590
"1998Q4",173283,497732,45542,95531,37430,93177,128519,927749
"1999Q1",172550,497914,46215,97540,33369,19066,50996,873614
"1999Q2",173465,508358,46885,97545,37316,33846,77600,892215
"1999Q3",170527,515793,49347,89723,35742,9865,43157,892084
"1999Q4",176433,527405,49860,100189,47887,70361,114980,952728
"2000Q1",183337,526189,50753,99048,32357,60843,92134,954923
"2000Q2",181943,533551,51837,104558,32371,45909,84022,944572
"2000Q3",177967,545452,53595,93911,36147,12185,45430,949971
"2000Q4",184841,555203,54243,104127,36063,31432,64798,944203
"2001Q1",181552,553325,55708,103639,38331,41103,79007,971152
"2001Q2",178520,545963,57456,100185,32866,65243,103939,971014
"2001Q3",183793,567498,55236,103355,33874,11827,42238,991536
"2001Q4",177052,565052,55849,105095,30757,34721,63113,946377
"2002Q1",187703,580318,57608,113942,29561,185418,215580,1148053
"2002Q2",194134,592124,58764,118238,31672,62479,99487,1050756
"2002Q3",198298,563872,61013,122180,29839,10076,36149,1019739
"2002Q4",199174,618969,54526,120711,28772,66925,93648,1067067
"2003Q1",204376,638706,65362,122685,29614,18149,49184,1068137
"2003Q2",201549,623136,61163,120261,42566,50419,99528,1094088
"2003Q3",218365,641583,65394,121668,29227,14385,39397,1131125
"2003Q4",213839,657671,69912,125350,30622,54150,82999,1130268
"2004Q1",216347,672212,69911,142581,38401,56887,97621,1184432
"2004Q2",218601,653716,70556,156802,30289,47050,81656,1181142
"2004Q3",220972,677470,73608,138753,30680,14372,40144,1190209
"2004Q4",229309,690696,74735,186535,34687,27702,61150,1220210
"2005Q1",228385,707389,75492,163449,38873,48619,90055,1249851
"2005Q2",235158,709220,85872,170454,37663,74982,117228,1318409
"2005Q3",243257,740940,80318,177988,43552,10497,46903,1320430
"2005Q4",249194,753247,78589,170418,42816,47534,89975,1320972
"2006Q1",256830,770909,76180,167168,40482,34131,77099,1336918
"2006Q2",249964,759885,84910,180462,43583,50160,97873,1376451
"2006Q3",242417,817749,90798,196838,44092,12805,50147,1423899
"2006Q4",238936,831732,91333,187840,44465,53065,98217,1426880
"2007Q1",247944,853952,100704,185559,42235,25543,69799,1452659
"2007Q2",258995,816557,91252,184627,47252,49604,100202,1451307
"2007Q3",244996,879991,96771,198438,41882,22349,58440,1502309
"2007Q4",253840,891634,104167,196561,45636,68741,116325,1540531
"2008Q1",243722,908127,107967,209250,52832,27804,81859,1554226
"2008Q2",286300,905691,104966,198387,46846,38241,87809,1579841
