"CPI Subgroups by Regions (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","",""
"","New Zealand","","","","","","","","","","","","","","","","","","",""
" ","Fruit and Vegetables","Meat, Fish and Poultry","Grocery Food, Soft Drinks & Confectionery","Restaurant Meals and Ready-to-Eat Food","Dwelling Rentals**","Home Ownership","Energy","Household Appliances and Furnishings","Household Supplies and Services","Clothing","Footwear","Public Transport","Private Transport","Tobacco Products","Alcoholic Drinks","Personal Goods and Services","Health Care","Stationery, Books, Magazines & Newspapers","Leisure and Recreation","Education and Child Care"
"1975Q1",232.498380,174.454660,"..","..",138.623701,"..",103.622537,238.093040,205.417501,190.929787,193.584145,161.733011,"..",78.286590,133.979870,"..","..","..","..",".."
"1975Q2",245.729995,174.991443,"..","..",143.837128,"..",107.305075,245.967712,207.594372,200.920299,201.594524,168.399141,"..",79.938206,137.087650,"..","..","..","..",".."
"1975Q3",270.302995,181.790702,"..","..",149.451589,"..",108.737173,255.695249,212.343910,202.770394,205.027543,180.779096,"..",80.103367,143.993829,"..","..","..","..",".."
"1975Q4",288.023908,198.073137,"..","..",155.600760,"..",110.680735,267.275650,214.916576,213.500944,219.331790,182.207553,"..",82.415630,150.209390,"..","..","..","..",".."
"1976Q1",294.167158,202.188477,"..","..",160.012121,"..",114.977030,278.856050,231.342060,217.386143,223.146256,208.395921,"..",83.736922,155.734333,"..","..","..","..",".."
"1976Q2",281.408100,204.872395,"..","..",165.091871,"..",142.391482,291.131275,253.704467,227.561665,234.208207,218.236398,"..",87.370477,160.223349,"..","..","..","..",".."
"1976Q3",296.293667,212.208437,"..","..",172.577818,"..",153.848267,303.406500,256.475030,231.631874,241.455693,221.728181,"..",93.151132,171.618544,"..","..","..","..",".."
"1976Q4",310.706677,223.301964,"..","..",173.246207,"..",154.257438,311.512781,259.839286,244.582538,261.863085,222.045615,"..",101.244050,174.381016,"..","..","..","..",".."
"1977Q1",323.702013,229.027656,"..","..",183.272029,"..",158.349148,320.545493,261.818260,249.022765,264.533211,231.568658,"..",103.183218,175.477987,"..","..","..","..",".."
"1977Q2",315.432254,232.964069,"..","..",189.287522,"..",201.618973,336.989662,267.161490,265.303600,278.837459,241.409136,"..",105.616425,185.211948,"..","..","..","..",".."
"1977Q3",344.730830,241.194750,"..","..",194.233594,"..",205.812975,351.812575,276.066873,271.223903,285.894220,254.741396,"..",106.909067,195.745961,"..","..","..","..",".."
"1977Q4",355.599657,245.667946,"..","..",201.452186,"..",206.324438,361.540112,305.553585,289.169823,308.971739,257.280874,"..",110.254728,201.346322,"..","..","..","..",".."
"1978Q1",353.110459,241.737259,"..","..",205.481230,"..",206.530763,367.686294,311.053550,293.796540,313.606315,271.688603,"..",112.680332,214.635179,"..","..","..","..",".."
