"(DISC) Estimated De Facto Population by Age and Sex (1936-95) (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years and over","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years and over"
1936,13790,12920,13080,13220,13540,14210,14320,14150,14260,14590,14740,14740,14760,14860,14860,15250,15020,13800,13680,14150,14680,14400,14430,14310,14190,13990,13800,13620,13380,13120,12780,12410,11940,11630,11520,11300,10950,10760,10450,9910,9500,9400,9160,9000,9010,9070,9120,9360,9560,9610,9600,9650,9520,9320,9210,9110,8750,8530,8220,7730,7180,6780,6360,5950,5600,5330,5030,4660,4280,3880,3470,3170,2870,2540,2300,2120,1870,1660,1510,1320,1320,890,860,700,600,530,430,270,210,140,460,13540,12350,12400,12690,12950,13390,13870,13700,13700,13800,14030,14180,14140,14080,14280,14620,14180,13350,13140,13810,14170,13880,14040,13890,13750,13530,13260,12990,12780,12540,12170,11820,11390,11070,10950,10820,10590,10620,10550,10330,10130,10130,9930,9740,9650,9580,9460,9560,9550,9500,9340,9230,8990,8790,8530,8420,8090,7820,7530,7200,6690,6340,5970,5570,5290,5090,4760,4480,4150,3780,3440,3170,2890,2610,2370,2170,1930,1710,1500,1290,1300,860,790,680,620,520,420,340,250,160,580
1937,14980,13400,12850,13070,13200,13540,14200,14310,14130,14250,14580,14730,14750,14770,14850,14850,15240,15030,13800,13660,14130,14660,14390,14420,14330,14210,13990,13850,13670,13400,13170,12820,12420,11960,11660,11540,11320,10970,10750,10440,9900,9490,9380,9140,8970,8980,9050,9090,9320,9490,9510,9510,9590,9410,9220,9110,9010,8620,8400,8080,7570,7040,6650,6200,5780,5420,5170,4870,4470,4100,3700,3290,2990,2710,2380,2110,1940,1710,1500,1350,1340,910,880,710,610,540,440,280,210,140,470,14440,13260,12320,12390,12660,12940,13380,13870,13700,13700,13800,14040,14200,14140,14070,14290,14600,14160,13320,13120,13790,14140,13830,13980,13860,13740,13510,13230,12960,12770,12550,12130,11790,11350,11050,10950,10810,10580,10610,10540,10290,10100,10100,9860,9690,9620,9530,9410,9520,9510,9460,9290,9170,8910,8690,8430,8330,8010,7740,7430,7080,6570,6250,5880,5460,5150,4940,4650,4360,4020,3630,3290,3010,2740,2480,2220,2020,1780,1570,1370,1330,880,800,710,630,530,430,340,250,160,610
1938,15400,14430,13270,12800,13040,13170,13520,14180,14280,14120,14240,14560,14720,14750,14770,14850,14850,15250,15000,13760,13640,14130,14700,14430,14460,14360,14290,14080,13890,13710,13450,13210,12860,12440,11970,11680,11570,11350,10960,10740,10450,9880,9470,9370,9120,8950,8960,9020,9060,9270,9430,9450,9440,9490,9310,9080,8970,8880,8470,8220,7890,7410,6900,6480,6030,5600,5240,5000,4680,4250,3870,3520,3110,2800,2510,2190,1930,1780,1550,1350,1210,1010,860,730,610,550,440,280,210,140,470,14750,14030,13160,12280,12370,12640,12910,13360,13850,13690,13680,13780,14030,14180,14120,14060,14270,14590,14140,13290,13090,13750,14090,13810,13970,13850,13710,13490,13230,12960,12800,12560,12140,11780,11340,11040,10930,10790,10560,10560,10500,10260,10050,10050,9810,9630,9560,9480,9330,9450,9420,9370,9210,9060,8820,8600,8330,8200,7860,7610,7320,6980,6460,6110,5770,5330,5000,4810,4490,4210,3870,3480,3140,2860,2570,2290,2060,1880,1610,1420,1340,900,820,710,650,540,440,350,260,160,600
1939,16460,14960,14370,13260,12800,13040,13170,13540,14200,14320,14160,14270,14600,14760,14780,14810,14890,14880,15230,15020,13770,13650,14180,14750,14520,14560,14450,14370,14190,14040,13810,13540,13300,12920,12490,11990,11690,11570,11360,10980,10740,10440,9870,9440,9350,9080,8900,8900,8970,9000,9210,9370,9380,9340,9390,9200,8980,8840,8720,8300,8070,7760,7250,6710,6280,5830,5410,5060,4790,4460,4060,3690,3330,2910,2600,2310,2000,1760,1590,1370,1220,1050,880,720,610,540,430,280,210,140,450,15830,14440,13980,13150,12290,12380,12670,12940,13360,13860,13710,13730,13840,14050,14180,14140,14070,14280,14600,14160,13320,13130,13790,14130,13860,14030,13890,13750,13540,13290,13010,12850,12620,12160,11800,11370,11090,10960,10840,10590,10590,10510,10270,10070,10060,9790,9600,9530,9450,9300,9410,9400,9330,9160,9010,8770,8550,8280,8120,7760,7530,7220,6880,6350,5990,5660,5220,4900,4690,4340,4050,3720,3340,3000,2720,2420,2140,1910,1730,1470,1310,1090,880,690,600,530,440,350,260,160,580
1940,18440,16240,14910,14360,13260,12810,13050,13200,13550,14210,14330,14180,14310,14620,14770,14790,14740,14770,14640,14750,13960,11320,10490,11380,12260,12300,12560,12730,12820,12770,12810,12670,12440,12250,11950,11600,11300,11200,11120,10900,10550,10420,10230,9700,9310,9230,8980,8820,8820,8880,8910,9120,9260,9250,9210,9250,9080,8830,8670,8550,8120,7910,7600,7090,6560,6110,5640,5210,4850,4590,4270,3880,3510,3140,2710,2400,2110,1820,1600,1450,1240,1060,940,760,600,530,430,270,210,140,430,17560,15650,14400,13970,13160,12310,12370,12670,12950,13390,13880,13740,13750,13850,14060,14190,14140,14060,14280,14580,14130,13300,13090,13750,14100,13820,14000,13860,13720,13510,13270,13000,12830,12610,12180,11790,11360,11070,10950,10830,10590,10570,10500,10260,10030,10010,9760,9570,9500,9420,9260,9360,9330,9270,9090,8930,8670,8450,8190,8010,7650,7420,7100,6750,6200,5830,5500,5080,4740,4540,4190,3890,3570,3170,2840,2560,2270,1980,1760,1590,1350,1130,970,770,580,520,440,340,260,160,560
1941,19530,18130,16150,14860,14330,13230,12790,13040,13190,13540,14210,14320,14170,14300,14610,14750,14780,14740,14690,14310,14120,12050,8250,7750,9130,10220,10510,10970,11370,11740,11810,11950,11930,11800,11690,11410,11130,10950,10810,10710,10540,10320,10360,10160,9610,9230,9170,8900,8730,8740,8800,8830,9000,9150,9150,9090,9130,8920,8660,8510,8380,7940,7730,7390,6880,6360,5910,5440,5000,4630,4370,4060,3670,3280,2920,2510,2190,1910,1650,1430,1290,1090,930,800,630,480,370,270,210,200,400,18600,17310,15570,14360,13950,13150,12300,12390,12670,12940,13390,13870,13730,13750,13840,14050,14180,14120,14050,14260,14550,14090,13270,13050,13690,14010,13730,13910,13770,13640,13440,13230,12950,12780,12580,12150,11780,11330,11050,10920,10810,10560,10540,10470,10230,9990,9960,9700,9520,9440,9340,9200,9300,9280,9190,9010,8850,8590,8370,8070,7880,7530,7290,6960,6610,6060,5680,5360,4940,4580,4350,4000,3720,3370,2990,2640,2370,2110,1810,1600,1440,1180,1010,860,660,560,400,310,250,180,500
1942,18860,19240,18030,16100,14840,14310,13200,12770,13040,13180,13540,14190,14310,14160,14280,14600,14730,14780,14690,14440,13880,11900,8780,6370,6730,8260,9360,9650,10160,10610,11050,11160,11380,11440,11400,11400,11220,11050,10850,10670,10610,10530,10410,10420,10170,9610,9220,9140,8880,8690,8690,8740,8760,8920,9050,9030,8980,8990,8780,8500,8340,8230,7770,7520,7170,6650,6130,5710,5230,4760,4390,4160,3860,3440,3030,2660,2270,1970,1690,1440,1250,1110,930,770,650,460,360,260,210,180,380,18050,18390,17230,15530,14330,13930,13130,12290,12360,12650,12940,13380,13870,13720,13740,13830,14060,14170,14120,14050,14250,14530,14070,13250,13030,13670,13990,13720,13890,13730,13620,13400,13210,12940,12770,12560,12120,11740,11320,11020,10900,10770,10520,10500,10450,10190,9940,9910,9660,9470,9370,9290,9120,9230,9180,9100,8910,8740,8480,8250,7950,7770,7400,7130,6790,6450,5890,5520,5190,4760,4390,4160,3810,3500,3160,2800,2460,2180,1920,1630,1420,1280,1030,840,720,540,380,300,240,170,470
